ep,avg_step,min_step,max_step,avg_rew,min_rew,max_rew,avg_alig
30,1.6667,1,3,11.0,11.0,11.0,3.0
60,1.9667,1,3,11.0,11.0,11.0,3.0
90,2.1,1,5,11.0,11.0,11.0,3.0
120,1.7667,1,6,10.7333,3.0,11.0,3.0
150,2.3,1,21,10.7,2.0,11.0,2.9667
180,1.7333,1,3,11.0,11.0,11.0,3.0
210,1.7667,1,3,11.0,11.0,11.0,3.0
240,2.3333,1,21,10.7,2.0,11.0,2.9667
270,1.5333,1,3,11.0,11.0,11.0,3.0
300,1.8667,1,4,11.0,11.0,11.0,3.0
330,2.4,1,21,10.7,2.0,11.0,2.9667
360,1.6333,1,3,11.0,11.0,11.0,3.0
390,1.8667,1,4,11.0,11.0,11.0,3.0
420,2.2667,1,21,10.7,2.0,11.0,2.9667
450,2.1333,1,21,10.7,2.0,11.0,2.9667
480,1.8,1,3,11.0,11.0,11.0,3.0
510,1.9333,1,4,11.0,11.0,11.0,3.0
540,1.6333,1,3,11.0,11.0,11.0,3.0
570,1.6,1,3,11.0,11.0,11.0,3.0
600,1.6667,1,3,11.0,11.0,11.0,3.0
630,1.5333,1,3,11.0,11.0,11.0,3.0
660,1.5,1,3,11.0,11.0,11.0,3.0
690,1.9,1,3,11.0,11.0,11.0,3.0
720,2.0667,1,21,10.7,2.0,11.0,2.9667
750,1.7667,1,4,11.0,11.0,11.0,3.0
780,1.6,1,3,11.0,11.0,11.0,3.0
810,1.9,1,3,11.0,11.0,11.0,3.0
840,1.8667,1,3,11.0,11.0,11.0,3.0
870,1.7,1,3,11.0,11.0,11.0,3.0
900,1.8,1,3,11.0,11.0,11.0,3.0
930,1.4333,1,3,11.0,11.0,11.0,3.0
960,1.5,1,3,11.0,11.0,11.0,3.0
990,1.8333,1,3,11.0,11.0,11.0,3.0
