ep,avg_step,min_step,max_step,avg_rew,min_rew,max_rew,epsilon,action,rolling_averages_eps,rolling_averages
150,12.466666666666667,1,21,4.006666666666667,0.0,11.0,0.9975165838861282,3.4133333333333336,149,4.006666666666667
300,11.953333333333333,1,21,4.3533333333333335,0.0,11.0,0.9925164172139027,3.2666666666666666,150,4.006666666666667
450,11.92,1,21,4.26,0.0,11.0,0.9875162505416771,3.2266666666666666,151,4.026666666666666
600,12.486666666666666,1,21,4.16,0.0,11.0,0.9825160838694516,3.3266666666666667,152,4.026666666666666
750,11.146666666666667,1,21,4.58,0.0,11.0,0.9775159171972261,3.46,153,4.033333333333333
900,12.966666666666667,1,21,3.986666666666667,0.0,11.0,0.9725157505250005,2.986666666666667,154,4.033333333333333
1050,11.653333333333334,1,21,4.446666666666666,0.0,11.0,0.967515583852775,3.06,155,4.033333333333333
1200,12.313333333333333,1,21,3.933333333333333,0.0,11.0,0.9625154171805499,3.2133333333333334,156,4.086666666666667
1350,11.186666666666667,1,21,4.553333333333334,0.0,11.0,0.957515250508324,3.04,157,4.08
1500,12.266666666666667,1,21,4.053333333333334,0.0,11.0,0.9525150838360988,3.2066666666666666,158,4.086666666666667
1650,11.926666666666666,1,21,4.026666666666666,0.0,11.0,0.947514917163873,3.1533333333333333,159,4.073333333333333
1800,11.673333333333334,1,21,4.546666666666667,0.0,11.0,0.9425147504916479,3.3266666666666667,160,4.073333333333333
1950,11.2,1,21,4.533333333333333,0.0,11.0,0.9375145838194222,3.1733333333333333,161,4.02
2100,12.34,1,21,4.126666666666667,0.0,11.0,0.9325144171471971,3.1133333333333333,162,4.026666666666666
2250,10.1,1,21,5.066666666666666,0.0,11.0,0.9275142504749712,3.1066666666666665,163,4.026666666666666
2400,11.406666666666666,1,21,4.713333333333333,0.0,11.0,0.922514083802746,3.1266666666666665,164,4.026666666666666
2550,11.92,1,21,4.08,0.0,11.0,0.9175139171305204,3.16,165,4.006666666666667
2700,10.106666666666667,1,21,4.846666666666667,0.0,11.0,0.9125137504582953,3.3533333333333335,166,4.006666666666667
2850,10.913333333333334,1,21,4.413333333333333,0.0,11.0,0.9075135837860694,3.453333333333333,167,4.06
3000,10.66,1,21,4.386666666666667,0.0,11.0,0.9025134171138443,3.486666666666667,168,4.066666666666666
3150,11.633333333333333,1,21,4.166666666666667,0.0,11.0,0.8975132504416184,3.2466666666666666,169,4.013333333333334
3300,10.153333333333334,1,21,4.913333333333333,0.0,11.0,0.8925130837693932,3.4466666666666668,170,3.96
3450,10.36,1,21,4.666666666666667,0.0,11.0,0.8875129170971676,3.2,171,4.013333333333334
3600,10.2,1,21,4.793333333333333,0.0,11.0,0.8825127504249425,3.24,172,4.026666666666666
3750,10.1,1,21,4.733333333333333,0.0,11.0,0.8775125837527166,3.493333333333333,173,4.08
3900,10.133333333333333,1,21,4.82,0.0,11.0,0.8725124170804914,3.44,174,4.066666666666666
4050,9.84,1,21,4.793333333333333,0.0,11.0,0.8675122504082657,3.2333333333333334,175,4.086666666666667
4200,9.473333333333333,1,21,5.16,0.0,11.0,0.8625120837360404,3.006666666666667,176,4.14
4350,8.953333333333333,1,21,5.273333333333333,0.0,11.0,0.8575119170638148,3.1466666666666665,177,4.086666666666667
4500,9.633333333333333,1,21,4.833333333333333,0.0,11.0,0.8525117503915894,3.6133333333333333,178,4.086666666666667
4650,10.413333333333334,1,21,4.406666666666666,0.0,11.0,0.8475115837193639,3.3066666666666666,179,4.033333333333333
4800,9.76,1,21,4.993333333333333,1.0,11.0,0.8425114170471385,3.486666666666667,180,4.1
4950,9.133333333333333,1,21,4.92,0.0,11.0,0.8375112503749129,3.6133333333333333,181,4.046666666666667
5100,9.093333333333334,1,21,4.906666666666666,0.0,11.0,0.8325110837026874,3.2333333333333334,182,4.046666666666667
5250,9.906666666666666,1,21,4.866666666666666,0.0,11.0,0.827510917030462,3.28,183,4.053333333333334
5400,9.26,1,21,4.713333333333333,0.0,11.0,0.8225107503582365,3.2066666666666666,184,4.053333333333334
5550,9.253333333333334,1,21,5.006666666666667,0.0,11.0,0.8175105836860111,3.82,185,4.1066666666666665
5700,9.106666666666667,1,21,5.033333333333333,0.0,11.0,0.8125104170137856,3.44,186,4.113333333333333
5850,9.573333333333334,1,21,5.233333333333333,1.0,11.0,0.8075102503415601,3.1733333333333333,187,4.12
6000,9.313333333333333,1,21,4.88,0.0,11.0,0.8025100836693347,3.493333333333333,188,4.12
6150,9.373333333333333,1,21,4.946666666666666,0.0,11.0,0.7975099169971092,3.26,189,4.1066666666666665
6300,8.893333333333333,1,21,5.2,0.0,11.0,0.7925097503248838,3.3533333333333335,190,4.126666666666667
6450,8.486666666666666,1,21,5.466666666666667,0.0,11.0,0.7875095836526583,3.4466666666666668,191,4.126666666666667
6600,8.24,1,21,5.506666666666667,0.0,11.0,0.7825094169804329,3.2666666666666666,192,4.1866666666666665
6750,8.333333333333334,1,21,5.473333333333334,0.0,11.0,0.7775092503082074,3.3733333333333335,193,4.2
6900,7.566666666666666,1,21,5.673333333333333,0.0,11.0,0.7725090836359819,3.58,194,4.1866666666666665
7050,7.92,1,21,5.98,0.0,11.0,0.7675089169637564,3.3066666666666666,195,4.1866666666666665
7200,7.94,1,21,5.586666666666667,0.0,11.0,0.762508750291531,3.433333333333333,196,4.1866666666666665
7350,8.146666666666667,1,21,5.746666666666667,0.0,11.0,0.7575085836193055,3.18,197,4.166666666666667
7500,8.6,1,21,5.5,0.0,11.0,0.75250841694708,3.3066666666666666,198,4.093333333333334
7650,8.126666666666667,1,21,5.693333333333333,1.0,11.0,0.7475082502748546,3.2066666666666666,199,4.04
7800,8.06,1,21,5.3533333333333335,0.0,11.0,0.7425080836026291,3.5533333333333332,200,4.04
7950,8.406666666666666,1,21,5.386666666666667,0.0,11.0,0.7375079169304035,3.2133333333333334,201,4.04
8100,6.993333333333333,1,21,5.786666666666667,0.0,11.0,0.732507750258178,3.34,202,4.04
8250,8.513333333333334,1,21,5.466666666666667,0.0,11.0,0.7275075835859526,3.2466666666666666,203,4.053333333333334
8400,7.453333333333333,1,21,5.7,1.0,11.0,0.7225074169137271,3.2266666666666666,204,4.04
8550,8.006666666666666,1,21,5.466666666666667,0.0,11.0,0.7175072502415016,3.3533333333333335,205,4.04
8700,7.92,1,21,5.406666666666666,0.0,11.0,0.7125070835692761,3.3933333333333335,206,4.06
8850,7.286666666666667,1,21,5.58,0.0,11.0,0.7075069168970507,3.62,207,4.006666666666667
9000,8.126666666666667,1,21,5.78,1.0,11.0,0.7025067502248252,3.32,208,4.006666666666667
9150,6.42,1,21,6.06,0.0,11.0,0.6975065835525996,3.2333333333333334,209,4.02
9300,7.306666666666667,1,21,5.78,0.0,11.0,0.6925064168803743,3.486666666666667,210,4.02
9450,7.42,1,21,5.48,0.0,11.0,0.6875062502081488,3.8133333333333335,211,4.073333333333333
9600,7.066666666666666,1,21,6.14,1.0,11.0,0.6825060835359233,3.66,212,4.073333333333333
9750,6.66,1,21,6.453333333333333,0.0,11.0,0.6775059168636979,3.2066666666666666,213,4.073333333333333
9900,6.9,1,21,5.786666666666667,1.0,11.0,0.6725057501914724,3.4133333333333336,214,4.14
10050,6.6466666666666665,1,21,6.0,0.0,11.0,0.6675055835192469,3.4,215,4.1466666666666665
10200,5.826666666666667,1,21,6.56,0.0,11.0,0.6625054168470215,3.48,216,4.153333333333333
10350,6.993333333333333,1,21,6.226666666666667,1.0,11.0,0.6575052501747961,3.54,217,4.153333333333333
10500,7.153333333333333,1,21,6.053333333333334,0.0,11.0,0.6525050835025706,3.3466666666666667,218,4.206666666666667
10650,7.046666666666667,1,21,6.493333333333333,0.0,11.0,0.6475049168303451,3.1933333333333334,219,4.213333333333333
10800,7.086666666666667,1,21,5.8533333333333335,1.0,11.0,0.6425047501581197,3.026666666666667,220,4.226666666666667
10950,6.88,1,21,6.006666666666667,1.0,11.0,0.6375045834858942,3.24,221,4.173333333333333
11100,6.413333333333333,1,21,6.38,0.0,11.0,0.6325044168136688,3.4266666666666667,222,4.1066666666666665
11250,6.373333333333333,1,21,6.513333333333334,0.0,11.0,0.6275042501414433,3.3466666666666667,223,4.12
11400,5.98,1,21,6.673333333333333,0.0,11.0,0.6225040834692178,3.533333333333333,224,4.173333333333333
11550,6.273333333333333,1,21,6.28,1.0,11.0,0.6175039167969923,3.2866666666666666,225,4.113333333333333
11700,6.1,1,21,6.2,1.0,11.0,0.612503750124767,3.466666666666667,226,4.12
11850,6.06,1,21,6.246666666666667,1.0,11.0,0.6075035834525414,3.24,227,4.173333333333333
12000,5.98,1,21,6.086666666666667,1.0,11.0,0.6025034167803159,3.46,228,4.1866666666666665
12150,6.26,1,21,7.006666666666667,0.0,11.0,0.5975032501080906,3.6666666666666665,229,4.1866666666666665
12300,5.126666666666667,1,21,6.82,2.0,11.0,0.592503083435865,3.3933333333333335,230,4.18
12450,5.866666666666666,1,21,6.413333333333333,0.0,11.0,0.5875029167636395,3.5733333333333333,231,4.18
12600,5.98,1,21,7.22,1.0,11.0,0.5825027500914141,3.2933333333333334,232,4.16
12750,6.926666666666667,1,21,5.9,0.0,11.0,0.5775025834191886,3.6733333333333333,233,4.16
12900,5.046666666666667,1,21,6.8133333333333335,2.0,11.0,0.5725024167469631,3.6133333333333333,234,4.18
13050,5.613333333333333,1,21,6.786666666666667,0.0,11.0,0.5675022500747375,3.5533333333333332,235,4.16
